title,slug,date,path,url
【この組織 Japan X College について】,この組織_Japan_X_College_について,2024-01-01,articles/data/markdown/2024/01/01/この組織_Japan_X_College_について.md,https://note.com/japan_x_college/n/nc1d6f3568641
【再現性がある組織を】 自己紹介 vol.1 Taka,再現性がある組織を_自己紹介_vol1_Taka,2024-01-03,articles/data/markdown/2024/01/03/再現性がある組織を_自己紹介_vol1_Taka.md,https://note.com/japan_x_college/n/n06582e7c863a
【循環型経済に向けて】自己紹介 vol.2 シブタツ,循環型経済に向けて自己紹介_vol2_シブタツ,2024-01-03,articles/data/markdown/2024/01/03/循環型経済に向けて自己紹介_vol2_シブタツ.md,https://note.com/japan_x_college/n/n4e0290add892
【DAOと人類の未来に思いを馳せて】自己紹介 vol.3 Kazzy,DAOと人類の未来に思いを馳せて自己紹介_vol3_Kazzy,2024-01-04,articles/data/markdown/2024/01/04/DAOと人類の未来に思いを馳せて自己紹介_vol3_Kazzy.md,https://note.com/japan_x_college/n/nb1afc13185db
【自分の色とは】　自己紹介　vol.4 Yoyo 2024/1/5,自分の色とは_自己紹介_vol4_Yoyo_202415,2024-01-05,articles/data/markdown/2024/01/05/自分の色とは_自己紹介_vol4_Yoyo_202415.md,https://note.com/japan_x_college/n/n3255335d13c9
【自分はどのように規定されているのか】自己紹介 vol.5 田口響生,自分はどのように規定されているのか自己紹介_vol5_田口響生,2024-01-06,articles/data/markdown/2024/01/06/自分はどのように規定されているのか自己紹介_vol5_田口響生.md,https://note.com/japan_x_college/n/nc0ee9e3157d8
【「自分の」選択肢が増えますように】自己紹介vol.6 あいちゃん,自分の選択肢が増えますように自己紹介vol6_あいちゃん,2024-01-08,articles/data/markdown/2024/01/08/自分の選択肢が増えますように自己紹介vol6_あいちゃん.md,https://note.com/japan_x_college/n/n812889e81a96
【若者駆動型社会へ】自己紹介　vol.7 吉田賢,若者駆動型社会へ自己紹介_vol7_吉田賢,2024-01-12,articles/data/markdown/2024/01/12/若者駆動型社会へ自己紹介_vol7_吉田賢.md,https://note.com/japan_x_college/n/nb52a757464be
【JXCのnote投稿の意義-1-】プロジェクトXをもう一度,JXCのnote投稿の意義-1-プロジェクトXをもう一度,2024-01-14,articles/data/markdown/2024/01/14/JXCのnote投稿の意義-1-プロジェクトXをもう一度.md,https://note.com/japan_x_college/n/n456b53770de9
【東京留学生】自己紹介　vol.8 三四郎,東京留学生自己紹介_vol8_三四郎,2024-01-14,articles/data/markdown/2024/01/14/東京留学生自己紹介_vol8_三四郎.md,https://note.com/japan_x_college/n/n10222e5c306d
【JXCのnote投稿の意義-2-】参加メンバー募集  ~note投稿/JXC運営~,JXCのnote投稿の意義-2-参加メンバー募集_note投稿JXC運営,2024-01-15,articles/data/markdown/2024/01/15/JXCのnote投稿の意義-2-参加メンバー募集_note投稿JXC運営.md,https://note.com/japan_x_college/n/n4b866a4ef75e
【東大生活動家🍊🌏❤️】 vol.9-1 チャン,東大生活動家_vol9-1_チャン,2024-01-23,articles/data/markdown/2024/01/23/東大生活動家_vol9-1_チャン.md,https://note.com/japan_x_college/n/n7ab2e2041dbe
【東大生活動家🍊🌏❤️】 vol.9-2 チャン,東大生活動家_vol9-2_チャン,2024-01-23,articles/data/markdown/2024/01/23/東大生活動家_vol9-2_チャン.md,https://note.com/japan_x_college/n/n6bb56ff73338
【若者の声で社会を変えていくJK】 vol.10 秀島知永子,若者の声で社会を変えていくJK_vol10_秀島知永子,2024-05-12,articles/data/markdown/2024/05/12/若者の声で社会を変えていくJK_vol10_秀島知永子.md,https://note.com/japan_x_college/n/nbfe8b7b21179
vol.10-2 秀島知永子,vol10-2_秀島知永子,2024-07-12,articles/data/markdown/2024/07/12/vol10-2_秀島知永子.md,https://note.com/japan_x_college/n/n0aec02067ad1
【京都の文化を世界に届ける】 自己紹介 vol.11-1 石田諭基,京都の文化を世界に届ける_自己紹介_vol11-1_石田諭基,2024-07-14,articles/data/markdown/2024/07/14/京都の文化を世界に届ける_自己紹介_vol11-1_石田諭基.md,https://note.com/japan_x_college/n/n9327b4088139
